Si (Silicon) - Dispersive & Lossless

frequency (THz), Im(eps)
176.349, 6.23446e-08
176.772, 6.25462e-08
177.196, 6.27483e-08
177.619, 6.29508e-08
178.043, 6.31538e-08
178.467, 6.33572e-08
178.89, 6.35611e-08
179.314, 6.37654e-08
179.738, 6.39702e-08
180.161, 6.41754e-08
180.585, 6.4381e-08
181.009, 6.45872e-08
181.432, 6.47937e-08
181.856, 6.50008e-08
182.28, 6.52083e-08
182.703, 6.54163e-08
183.127, 6.56247e-08
183.551, 6.58336e-08
183.974, 6.6043e-08
184.398, 6.62528e-08
184.822, 6.64631e-08
185.245, 6.66739e-08
185.669, 6.68852e-08
186.093, 6.7097e-08
186.516, 6.73092e-08
186.94, 6.75219e-08
187.364, 6.77352e-08
187.787, 6.79489e-08
188.211, 6.8163e-08
188.635, 6.83777e-08
189.058, 6.85929e-08
189.482, 6.88086e-08
189.906, 6.90248e-08
190.329, 6.92415e-08
190.753, 6.94587e-08
191.177, 6.96764e-08
191.6, 6.98946e-08
192.024, 7.01133e-08
192.448, 7.03325e-08
192.871, 7.05523e-08
193.295, 7.07725e-08
193.719, 7.09933e-08
194.142, 7.12146e-08
194.566, 7.14365e-08
194.99, 7.16588e-08
195.413, 7.18817e-08
195.837, 7.21052e-08
196.261, 7.23291e-08
196.684, 7.25536e-08
197.108, 7.27787e-08
197.532, 7.30042e-08
197.955, 7.32304e-08
198.379, 7.3457e-08
198.802, 7.36842e-08
199.226, 7.3912e-08
199.65, 7.41403e-08
200.073, 7.43692e-08
200.497, 7.45987e-08
200.921, 7.48287e-08
201.344, 7.50592e-08
201.768, 7.52904e-08
202.192, 7.55221e-08
202.615, 7.57544e-08
203.039, 7.59872e-08
203.463, 7.62206e-08
203.886, 7.64546e-08
204.31, 7.66892e-08
204.734, 7.69244e-08
205.157, 7.71601e-08
205.581, 7.73965e-08
206.005, 7.76334e-08
206.428, 7.7871e-08
206.852, 7.81091e-08
207.276, 7.83478e-08
207.699, 7.85872e-08
208.123, 7.88271e-08
208.547, 7.90677e-08
208.97, 7.93088e-08
