Si (Silicon) - Dispersive & Lossless

frequency (THz), Re(eps)
176.349, 11.9933
176.772, 11.995
177.196, 11.9967
177.619, 11.9984
178.043, 12
178.467, 12.0017
178.89, 12.0034
179.314, 12.0051
179.738, 12.0068
180.161, 12.0085
180.585, 12.0102
181.009, 12.0119
181.432, 12.0137
181.856, 12.0154
182.28, 12.0171
182.703, 12.0189
183.127, 12.0206
183.551, 12.0223
183.974, 12.0241
184.398, 12.0259
184.822, 12.0276
185.245, 12.0294
185.669, 12.0312
186.093, 12.033
186.516, 12.0347
186.94, 12.0365
187.364, 12.0383
187.787, 12.0402
188.211, 12.042
188.635, 12.0438
189.058, 12.0456
189.482, 12.0474
189.906, 12.0493
190.329, 12.0511
190.753, 12.053
191.177, 12.0548
191.6, 12.0567
192.024, 12.0585
192.448, 12.0604
192.871, 12.0623
193.295, 12.0642
193.719, 12.066
194.142, 12.0679
194.566, 12.0698
194.99, 12.0717
195.413, 12.0736
195.837, 12.0756
196.261, 12.0775
196.684, 12.0794
197.108, 12.0813
197.532, 12.0833
197.955, 12.0852
198.379, 12.0872
198.802, 12.0891
199.226, 12.0911
199.65, 12.0931
200.073, 12.0951
200.497, 12.097
200.921, 12.099
201.344, 12.101
201.768, 12.103
202.192, 12.105
202.615, 12.107
203.039, 12.1091
203.463, 12.1111
203.886, 12.1131
204.31, 12.1152
204.734, 12.1172
205.157, 12.1193
205.581, 12.1213
206.005, 12.1234
206.428, 12.1254
206.852, 12.1275
207.276, 12.1296
207.699, 12.1317
208.123, 12.1338
208.547, 12.1359
208.97, 12.138
209.394, 12.1401
209.818, 12.1422
210.241, 12.1444
210.665, 12.1465
211.089, 12.1486
211.512, 12.1508
211.936, 12.1529
212.36, 12.1551
212.783, 12.1573
213.207, 12.1594
213.631, 12.1616
214.054, 12.1638
214.478, 12.166
214.902, 12.1682
215.325, 12.1704
215.749, 12.1726
216.173, 12.1748
216.596, 12.1771
217.02, 12.1793
217.444, 12.1815
217.867, 12.1838
218.291, 12.186
218.715, 12.1883
219.138, 12.1906
219.562, 12.1928
219.985, 12.1951
220.409, 12.1974
220.833, 12.1997
221.256, 12.202
221.68, 12.2043
222.104, 12.2066
222.527, 12.2089
222.951, 12.2113
223.375, 12.2136
223.798, 12.2159
224.222, 12.2183
224.646, 12.2207
225.069, 12.223
225.493, 12.2254
225.917, 12.2278
226.34, 12.2302
226.764, 12.2325
227.188, 12.2349
227.611, 12.2374
228.035, 12.2398
228.459, 12.2422
228.882, 12.2446
229.306, 12.2471
229.73, 12.2495
230.153, 12.2519
230.577, 12.2544
231.001, 12.2569
231.424, 12.2593
231.848, 12.2618
232.272, 12.2643
232.695, 12.2668
233.119, 12.2693
233.543, 12.2718
233.966, 12.2743
234.39, 12.2769
234.814, 12.2794
235.237, 12.2819
235.661, 12.2845
236.085, 12.287
236.508, 12.2896
236.932, 12.2922
237.356, 12.2948
237.779, 12.2973
238.203, 12.2999
238.627, 12.3025
239.05, 12.3051
239.474, 12.3078
239.898, 12.3104
240.321, 12.313
240.745, 12.3157
241.168, 12.3183
241.592, 12.321
242.016, 12.3236
242.439, 12.3263
242.863, 12.329
243.287, 12.3317
243.71, 12.3344
244.134, 12.3371
244.558, 12.3398
244.981, 12.3425
245.405, 12.3452
245.829, 12.348
246.252, 12.3507
246.676, 12.3535
247.1, 12.3562
247.523, 12.359
247.947, 12.3618
248.371, 12.3646
248.794, 12.3674
249.218, 12.3702
249.642, 12.373
250.065, 12.3758
250.489, 12.3786
250.913, 12.3815
251.336, 12.3843
251.76, 12.3872
252.184, 12.39
252.607, 12.3929
253.031, 12.3958
253.455, 12.3987
253.878, 12.4016
254.302, 12.4045
254.726, 12.4074
255.149, 12.4103
255.573, 12.4132
255.997, 12.4162
256.42, 12.4191
256.844, 12.4221
257.268, 12.425
257.691, 12.428
258.115, 12.431
258.539, 12.434
258.962, 12.437
259.386, 12.44
259.81, 12.443
260.233, 12.4461
260.657, 12.4491
261.081, 12.4521
261.504, 12.4552
261.928, 12.4583
262.351, 12.4613
262.775, 12.4644
263.199, 12.4675
263.622, 12.4706
264.046, 12.4737
264.47, 12.4769
264.893, 12.48
265.317, 12.4831
265.741, 12.4863
266.164, 12.4894
266.588, 12.4926
267.012, 12.4958
267.435, 12.499
267.859, 12.5022
268.283, 12.5054
268.706, 12.5086
269.13, 12.5118
269.554, 12.5151
269.977, 12.5183
270.401, 12.5216
270.825, 12.5248
271.248, 12.5281
271.672, 12.5314
272.096, 12.5347
272.519, 12.538
272.943, 12.5413
273.367, 12.5446
273.79, 12.5479
274.214, 12.5513
274.638, 12.5546
275.061, 12.558
275.485, 12.5614
275.909, 12.5648
276.332, 12.5682
276.756, 12.5716
277.18, 12.575
277.603, 12.5784
278.027, 12.5819
278.451, 12.5853
278.874, 12.5888
279.298, 12.5922
279.722, 12.5957
280.145, 12.5992
280.569, 12.6027
280.993, 12.6062
281.416, 12.6097
281.84, 12.6133
282.264, 12.6168
282.687, 12.6203
283.111, 12.6239
283.535, 12.6275
283.958, 12.6311
284.382, 12.6347
284.805, 12.6383
285.229, 12.6419
285.653, 12.6455
286.076, 12.6492
286.5, 12.6528
286.924, 12.6565
287.347, 12.6601
287.771, 12.6638
288.195, 12.6675
288.618, 12.6712
289.042, 12.675
289.466, 12.6787
289.889, 12.6824
290.313, 12.6862
290.737, 12.6899
291.16, 12.6937
291.584, 12.6975
292.008, 12.7013
292.431, 12.7051
292.855, 12.7089
293.279, 12.7128
293.702, 12.7166
294.126, 12.7205
294.55, 12.7244
294.973, 12.7282
295.397, 12.7321
295.821, 12.736
296.244, 12.7399
296.668, 12.7439
297.092, 12.7478
297.515, 12.7518
297.939, 12.7557
298.363, 12.7597
298.786, 12.7637
299.21, 12.7677
299.634, 12.7717
300.057, 12.7758
300.481, 12.7798
300.905, 12.7839
301.328, 12.7879
301.752, 12.792
302.176, 12.7961
302.599, 12.8002
303.023, 12.8043
303.447, 12.8084
303.87, 12.8126
304.294, 12.8167
304.718, 12.8209
305.141, 12.8251
305.565, 12.8293
305.988, 12.8335
306.412, 12.8377
306.836, 12.8419
307.259, 12.8462
307.683, 12.8505
308.107, 12.8547
308.53, 12.859
308.954, 12.8633
309.378, 12.8676
309.801, 12.872
310.225, 12.8763
310.649, 12.8807
311.072, 12.885
311.496, 12.8894
311.92, 12.8938
312.343, 12.8982
312.767, 12.9026
313.191, 12.9071
313.614, 12.9115
314.038, 12.916
314.462, 12.9205
314.885, 12.925
315.309, 12.9295
315.733, 12.934
316.156, 12.9385
316.58, 12.9431
317.004, 12.9477
317.427, 12.9522
317.851, 12.9568
318.275, 12.9614
318.698, 12.9661
319.122, 12.9707
319.546, 12.9754
319.969, 12.98
320.393, 12.9847
320.817, 12.9894
321.24, 12.9941
321.664, 12.9989
322.088, 13.0036
322.511, 13.0084
322.935, 13.0131
323.359, 13.0179
323.782, 13.0227
324.206, 13.0276
324.63, 13.0324
325.053, 13.0373
325.477, 13.0421
325.901, 13.047
326.324, 13.0519
326.748, 13.0568
327.171, 13.0618
327.595, 13.0667
328.019, 13.0717
328.442, 13.0766
328.866, 13.0816
329.29, 13.0867
329.713, 13.0917
330.137, 13.0967
330.561, 13.1018
330.984, 13.1069
331.408, 13.112
331.832, 13.1171
332.255, 13.1222
332.679, 13.1274
333.103, 13.1325
333.526, 13.1377
333.95, 13.1429
334.374, 13.1481
334.797, 13.1533
335.221, 13.1586
335.645, 13.1639
336.068, 13.1691
336.492, 13.1744
336.916, 13.1798
337.339, 13.1851
337.763, 13.1904
338.187, 13.1958
338.61, 13.2012
339.034, 13.2066
339.458, 13.212
339.881, 13.2175
340.305, 13.2229
340.729, 13.2284
341.152, 13.2339
341.576, 13.2394
342, 13.245
342.423, 13.2505
342.847, 13.2561
343.271, 13.2617
343.694, 13.2673
344.118, 13.2729
344.542, 13.2786
344.965, 13.2842
345.389, 13.2899
345.813, 13.2956
346.236, 13.3013
346.66, 13.3071
347.084, 13.3128
347.507, 13.3186
347.931, 13.3244
348.354, 13.3303
348.778, 13.3361
349.202, 13.342
349.625, 13.3478
350.049, 13.3537
350.473, 13.3597
350.896, 13.3656
351.32, 13.3716
351.744, 13.3775
352.167, 13.3836
352.591, 13.3896
353.015, 13.3956
353.438, 13.4017
353.862, 13.4078
354.286, 13.4139
354.709, 13.42
355.133, 13.4262
355.557, 13.4323
355.98, 13.4385
356.404, 13.4447
356.828, 13.451
357.251, 13.4572
357.675, 13.4635
358.099, 13.4698
358.522, 13.4761
358.946, 13.4825
359.37, 13.4888
359.793, 13.4952
360.217, 13.5016
360.641, 13.5081
361.064, 13.5145
361.488, 13.521
361.912, 13.5275
362.335, 13.534
362.759, 13.5406
363.183, 13.5472
363.606, 13.5538
364.03, 13.5604
364.454, 13.567
364.877, 13.5737
365.301, 13.5804
365.725, 13.5871
366.148, 13.5938
366.572, 13.6006
366.996, 13.6074
367.419, 13.6142
367.843, 13.621
368.267, 13.6279
368.69, 13.6348
369.114, 13.6417
369.537, 13.6486
369.961, 13.6556
370.385, 13.6625
370.808, 13.6695
371.232, 13.6766
371.656, 13.6836
372.079, 13.6907
372.503, 13.6978
372.927, 13.705
373.35, 13.7121
373.774, 13.7193
374.198, 13.7265
374.621, 13.7338
375.045, 13.741
375.469, 13.7483
375.892, 13.7557
376.316, 13.763
376.74, 13.7704
377.163, 13.7778
377.587, 13.7852
378.011, 13.7927
378.434, 13.8002
378.858, 13.8077
379.282, 13.8152
379.705, 13.8228
380.129, 13.8304
380.553, 13.838
380.976, 13.8456
381.4, 13.8533
381.824, 13.861
382.247, 13.8688
382.671, 13.8765
383.095, 13.8843
383.518, 13.8922
383.942, 13.9
384.366, 13.9079
384.789, 13.9158
385.213, 13.9238
385.637, 13.9318
386.06, 13.9398
386.484, 13.9478
